태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자,제공기관코드,제공기관명
텃골태양광,,"전북특별자치도 진안군 성수면 좌포리 279-1, 279-2",,,,정상가동,99.96,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
지산태양광,,"전북특별자치도 진안군 성수면 좌포리 279-1, 279-2",,,,정상가동,99.96,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
계서8호태양광발전소,,"전북특별자치도 진안군 마령면 계서리 588, 589-3",,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
진태양광발전소,,"전북특별자치도 진안군 마령면 계서리 588, 589-3",,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
계서보림태양광발전소,,전북특별자치도 진안군 마령면 계서리 588,,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
주*이태양광발전소,,"전북특별자치도 진안군 마령면 계서리 569, 588",,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
다선5호태양광발전소,,"전북특별자치도 진안군 마령면 계서리 569, 588",,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
드림1호태양광발전소,,전북특별자치도 진안군 마령면 계서리 569,,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
계서2호태양광발전소,,전북특별자치도 진안군 마령면 계서리 569,,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
율율1호태양광발전소,,전북특별자치도 진안군 마령면 계서리 569,,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
노촌태양광발전소6호,,"전북특별자치도 진안군 백운면 노촌리 654, 656-2",,,,정상가동,99.76,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
노촌태양광발전소4호,,전북특별자치도 진안군 백운면 노촌리 654,,,,정상가동,99.76,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
붕유6호발전소,,"전북특별자치도 진안군 동향면 능금리 66, 66-3, 66-4, 67-5, 67-6, 67-7, 67-8, 67-9, 67-10",,,,정상가동,99.425,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
붕유5호발전소,,"전북특별자치도 진안군 동향면 능금리 66, 67-5, 67-6, 67-7, 67-9",,,,정상가동,99.425,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
붕유4호발전소,,"전북특별자치도 진안군 동향면 능금리 66, 66-1, 66-2, 67-1, 67-4, 67-5, 67-7, 67-9, 70-5",,,,정상가동,99.425,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
선인2호태양광발전소,,전북특별자치도 진안군 진안읍 가림리 623-8,,,,정상가동,99.9,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
텃골태양광발전소2호,,전북특별자치도 진안군 백운면 반송리 190-1,,,,정상가동,99.9,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
진4태양광발전소,,"전북특별자치도 진안군 진안읍 가림리 1884-4, 1884-5, 1884-6",,,,정상가동,98.28,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
