episode,sample_mean,Expected SARSA,Risk-aware Q-learning
730,374.2,370.7,377.7
731,378.7,359.7,397.7
732,364.2,368.7,359.7
733,364.7,359.7,369.7
734,347.7,330.7,364.7
735,360.2,359.7,360.7
736,375.7,389.7,361.7
737,339.7,358.7,320.7
738,359.2,358.7,359.7
739,339.7,359.7,319.7
740,366.2,363.7,368.7
741,359.7,358.7,360.7
742,330.2,329.7,330.7
743,404.2,429.7,378.7
744,368.2,368.7,367.7
745,379.2,378.7,379.7
746,374.7,411.7,337.7
747,329.7,329.7,329.7
748,364.7,359.7,369.7
749,379.2,360.7,397.7
750,354.2,378.7,329.7
751,349.2,319.7,378.7
752,359.2,358.7,359.7
753,339.7,359.7,319.7
754,375.2,389.7,360.7
755,343.7,367.7,319.7
756,365.2,320.7,409.7
757,361.7,364.7,358.7
758,345.2,359.7,330.7
759,365.2,370.7,359.7
760,384.7,358.7,410.7
761,370.2,369.7,370.7
762,324.7,368.7,280.7
763,339.7,319.7,359.7
764,365.2,370.7,359.7
765,340.2,359.7,320.7
766,369.2,378.7,359.7
767,365.7,371.7,359.7
768,355.2,379.7,330.7
769,359.7,359.7,359.7
770,375.7,400.7,350.7
771,319.7,319.7,319.7
772,365.7,371.7,359.7
773,369.7,359.7,379.7
774,373.2,360.7,385.7
775,339.2,358.7,319.7
776,364.7,360.7,368.7
777,359.2,359.7,358.7
778,363.2,359.7,366.7
779,374.7,387.7,361.7
780,381.7,369.7,393.7
781,380.2,385.7,374.7
782,340.7,360.7,320.7
783,365.2,360.7,369.7
784,393.2,398.7,387.7
785,369.7,369.7,369.7
786,360.7,360.7,360.7
787,365.2,360.7,369.7
788,369.7,360.7,378.7
789,368.7,377.7,359.7
790,364.2,368.7,359.7
791,374.2,388.7,359.7
792,345.2,360.7,329.7
793,358.7,358.7,358.7
794,368.7,378.7,358.7
795,359.2,359.7,358.7
796,339.7,358.7,320.7
797,370.2,360.7,379.7
798,354.2,367.7,340.7
799,364.7,368.7,360.7
800,367.7,359.7,375.7
801,369.7,359.7,379.7
802,369.7,360.7,378.7
803,359.2,358.7,359.7
804,352.2,319.7,384.7
805,365.2,369.7,360.7
806,393.7,367.7,419.7
807,370.7,379.7,361.7
808,351.2,359.7,342.7
809,368.2,368.7,367.7
810,344.7,319.7,369.7
811,359.7,359.7,359.7
812,353.2,366.7,339.7
813,350.2,321.7,378.7
814,386.2,414.7,357.7
815,364.7,399.7,329.7
816,344.2,368.7,319.7
817,370.7,379.7,361.7
818,360.2,359.7,360.7
819,376.7,369.7,383.7
820,369.7,378.7,360.7
821,379.7,389.7,369.7
822,369.2,378.7,359.7
823,364.2,368.7,359.7
824,361.2,360.7,361.7
825,378.2,368.7,387.7
826,387.2,412.7,361.7
827,370.7,360.7,380.7
828,345.7,360.7,330.7
829,340.2,319.7,360.7
830,339.2,318.7,359.7
831,360.7,359.7,361.7
832,363.7,358.7,368.7
833,344.7,369.7,319.7
834,382.2,385.7,378.7
835,378.2,359.7,396.7
836,365.2,357.7,372.7
837,365.2,359.7,370.7
838,365.2,359.7,370.7
839,368.7,378.7,358.7
840,371.2,371.7,370.7
841,357.2,376.7,337.7
842,344.2,368.7,319.7
843,379.7,399.7,359.7
844,373.7,378.7,368.7
845,364.7,369.7,359.7
846,368.7,368.7,368.7
847,368.7,359.7,377.7
848,384.2,359.7,408.7
849,360.7,361.7,359.7
850,364.7,360.7,368.7
851,358.2,357.7,358.7
852,365.2,361.7,368.7
853,364.2,368.7,359.7
854,340.2,319.7,360.7
855,359.2,359.7,358.7
856,348.7,327.7,369.7
857,364.7,360.7,368.7
858,357.7,384.7,330.7
859,379.2,379.7,378.7
860,359.2,359.7,358.7
861,378.2,376.7,379.7
862,386.2,391.7,380.7
863,340.2,319.7,360.7
864,363.7,359.7,367.7
865,359.7,359.7,359.7
866,343.7,357.7,329.7
867,340.2,359.7,320.7
868,363.7,368.7,358.7
869,374.2,388.7,359.7
870,379.7,369.7,389.7
871,384.2,366.7,401.7
872,384.2,358.7,409.7
873,337.7,339.7,335.7
874,360.2,361.7,358.7
875,369.7,370.7,368.7
876,359.7,359.7,359.7
877,379.2,389.7,368.7
878,344.7,368.7,320.7
879,367.2,373.7,360.7
880,354.7,360.7,348.7
881,344.2,329.7,358.7
882,389.7,409.7,369.7
883,373.7,358.7,388.7
884,370.2,379.7,360.7
885,335.2,330.7,339.7
886,349.7,368.7,330.7
887,378.2,397.7,358.7
888,371.2,356.7,385.7
889,365.7,370.7,360.7
890,365.2,359.7,370.7
891,369.2,379.7,358.7
892,387.2,440.7,333.7
893,418.2,446.7,389.7
894,339.2,358.7,319.7
895,340.7,360.7,320.7
896,360.7,361.7,359.7
897,364.7,370.7,358.7
898,334.7,338.7,330.7
899,366.2,359.7,372.7
900,399.7,429.7,369.7
901,374.2,359.7,388.7
902,370.2,372.7,367.7
903,359.2,358.7,359.7
904,359.7,359.7,359.7
905,364.7,359.7,369.7
906,354.2,318.7,389.7
907,364.2,360.7,367.7
908,360.2,360.7,359.7
909,360.2,341.7,378.7
910,360.2,359.7,360.7
911,388.2,416.7,359.7
912,381.2,359.7,402.7
913,341.7,359.7,323.7
914,369.2,358.7,379.7
915,350.7,369.7,331.7
916,344.2,369.7,318.7
917,379.2,389.7,368.7
918,345.7,369.7,321.7
919,363.2,366.7,359.7
920,374.7,389.7,359.7
921,355.2,369.7,340.7
922,359.7,358.7,360.7
923,374.2,379.7,368.7
924,355.2,390.7,319.7
925,379.2,369.7,388.7
926,359.7,378.7,340.7
927,360.7,359.7,361.7
928,364.7,358.7,370.7
929,360.2,400.7,319.7
930,339.7,319.7,359.7
931,374.7,379.7,369.7
932,355.2,360.7,349.7
933,374.2,379.7,368.7
934,362.2,364.7,359.7
935,359.7,361.7,357.7
936,340.2,361.7,318.7
937,364.2,367.7,360.7
938,375.7,359.7,391.7
939,339.2,359.7,318.7
940,371.7,363.7,379.7
941,359.2,358.7,359.7
942,368.7,378.7,358.7
943,376.2,370.7,381.7
944,371.2,367.7,374.7
945,379.2,369.7,388.7
946,344.7,360.7,328.7
947,350.2,359.7,340.7
948,345.7,360.7,330.7
949,344.7,359.7,329.7
950,363.2,368.7,357.7
951,381.2,383.7,378.7
952,360.2,398.7,321.7
953,371.7,378.7,364.7
954,348.7,357.7,339.7
955,360.7,360.7,360.7
956,342.2,359.7,324.7
957,399.2,438.7,359.7
958,352.7,346.7,358.7
959,343.7,327.7,359.7
960,345.2,369.7,320.7
961,347.2,362.7,331.7
962,340.2,319.7,360.7
963,344.7,358.7,330.7
964,339.7,320.7,358.7
965,368.7,367.7,369.7
966,365.7,359.7,371.7
967,344.2,358.7,329.7
968,380.2,399.7,360.7
969,375.2,370.7,379.7
970,369.2,368.7,369.7
971,353.7,358.7,348.7
972,371.2,392.7,349.7
973,335.2,349.7,320.7
974,364.2,369.7,358.7
975,354.2,329.7,378.7
976,370.7,361.7,379.7
977,369.7,359.7,379.7
978,375.7,382.7,368.7
979,364.7,360.7,368.7
980,324.2,318.7,329.7
981,363.7,360.7,366.7
982,372.7,386.7,358.7
983,380.7,370.7,390.7
984,351.2,377.7,324.7
985,381.2,432.7,329.7
986,340.2,359.7,320.7
987,360.7,359.7,361.7
988,365.2,368.7,361.7
989,359.2,358.7,359.7
990,344.7,329.7,359.7
991,365.7,350.7,380.7
